reg_epochs,ptb_epochs,surrogate_epochs,randomized,ptb_rate,protected_size,retrain,base_g0,lock_g0,change_g0,base_g_g0,lock_g_g0,change_g_g0,g0g0_add,g0g0_remove,g0gX_add,g0gX_remove,gXgX_add,gXgX_remove,total,trivial_g0g0,trivial_g0gX
200,10,10,Y,0.5,0.14,Y,0.7899159789085388,0.4425770342350006,-0.3473389446735382,0.8081667423248291,0.7609527707099915,-0.047213971614837646,154,0,985,0,213,0,1352,,
200,10,10,Y,0.5,0.14,Y,0.7899159789085388,0.4957983195781708,-0.29411765933036804,0.8081667423248291,0.7915780544281006,-0.016588687896728516,112,0,699,0,398,0,1209,,
75,10,10,Y,0.5,0.14,Y,0.7851239442825317,0.5371900796890259,-0.24793386459350586,0.8093816637992859,0.7565032243728638,-0.05287843942642212,93,0,734,1,459,0,1287,,
75,10,10,Y,0.5,0.14,Y,0.7851239442825317,0.5426997542381287,-0.24242419004440308,0.8093816637992859,0.7078891396522522,-0.10149252414703369,90,0,725,1,500,0,1316,,
75,10,10,Y,0.5,0.14,Y,0.7851239442825317,0.6060606241226196,-0.1790633201599121,0.8093816637992859,0.8144989609718323,0.005117297172546387,87,0,612,1,586,1,1287,,
75,10,10,Y,0.5,0.14,Y,0.7851239442825317,0.5179063081741333,-0.26721763610839844,0.8093816637992859,0.7637526392936707,-0.045629024505615234,133,1,1086,0,115,0,1335,,
75,10,10,Y,0.5,0.14,Y,0.7851239442825317,0.5151515007019043,-0.26997244358062744,0.8093816637992859,0.7633262276649475,-0.04605543613433838,128,1,1047,0,157,0,1333,,
75,10,10,Y,0.5,0.14,Y,0.7851239442825317,0.589531660079956,-0.19559228420257568,0.8093816637992859,0.8081023693084717,-0.001279294490814209,103,0,674,0,418,1,1196,,
75,10,10,Y,0.5,0.14,Y,0.7851239442825317,0.4986225962638855,-0.28650134801864624,0.8093816637992859,0.7761194109916687,-0.03326225280761719,117,0,882,0,345,0,1344,,
75,10,10,Y,0.5,0.14,Y,0.7851239442825317,0.4931129515171051,-0.29201099276542664,0.8093816637992859,0.7594882845878601,-0.04989337921142578,130,0,982,0,231,0,1343,,
75,10,10,Y,0.5,0.14,Y,0.7851239442825317,0.5123966932296753,-0.27272725105285645,0.8093816637992859,0.7573560476303101,-0.05202561616897583,135,0,1044,1,141,0,1321,,
75,10,10,Y,0.5,0.14,Y,0.7851239442825317,0.4710743725299835,-0.3140495717525482,0.8093816637992859,0.748400866985321,-0.060980796813964844,124,0,1084,1,108,0,1317,,
75,10,10,Y,0.5,0.14,Y,0.7851239442825317,0.4655647277832031,-0.3195592164993286,0.8093816637992859,0.7518123388290405,-0.05756932497024536,123,0,1093,3,105,0,1324,,
75,10,10,Y,0.5,0.14,Y,0.7851239442825317,0.4710743725299835,-0.3140495717525482,0.8093816637992859,0.746268630027771,-0.06311303377151489,119,0,1083,4,110,0,1316,,
75,10,10,Y,0.5,0.14,Y,0.7851239442825317,0.46005508303642273,-0.325068861246109,0.8093816637992859,0.7394456267356873,-0.06993603706359863,118,0,1088,4,115,0,1325,,
