seed,reg_epochs,ptb_epochs,surrogate_epochs,randomized,ptb_rate,protected_size,retrain,base_g0,lock_g0,change_g0,base_g_g0,lock_g_g0,change_g_g0,g0g0_add,g0g0_remove,g0gX_add,g0gX_remove,gXgX_add,gXgX_remove,total,trivial_g0g0,trivial_g0gX
100,50,20,20,Y,0.5,0.14,Y,0.8230562806129456,0.4772118031978607,-0.34584447741508484,0.7790150046348572,0.770449697971344,-0.008565306663513184,50,0,390,3,90,2,535,,
101,50,20,20,Y,0.5,0.14,Y,0.8232043981552124,0.46408841013908386,-0.35911598801612854,0.7953964471817017,0.7983801960945129,0.0029837489128112793,51,0,420,2,58,2,533,,
102,50,20,20,Y,0.5,0.14,Y,0.8236914873123169,0.44077134132385254,-0.38292014598846436,0.800000011920929,0.7471215128898621,-0.052878499031066895,50,0,426,0,67,1,544,,
100,50,20,20,N,0.5,0.14,Y,0.8833333253860474,0.3722222149372101,-0.5111111104488373,0.778085470199585,0.7472310066223145,-0.030854463577270508,33,7,293,0,197,0,530,,
101,50,20,20,N,0.5,0.14,Y,0.8611111044883728,0.5166666507720947,-0.3444444537162781,0.7946993708610535,0.7697784900665283,-0.024920880794525146,59,9,209,1,261,0,539,,
102,50,20,20,N,0.5,0.14,Y,0.8611111044883728,0.5277777910232544,-0.3333333134651184,0.7990506291389465,0.7761076092720032,-0.02294301986694336,67,8,229,3,189,1,497,,
